baidu 百度
败尽家业 倾家荡产
败落 衰落
败退 溃退
拜把兄弟 结拜兄弟
拜别 离去
拜访 造访
拜鬼求神 求神拜佛
拜鬼求神 求神拜鬼
拜见 参见
拜年 贺年
拜托 请托
拜望 探访
拜望 探望
拜谒 拜见
扳缠不清 纠缠不清
扳连 瓜葛
扳连 牵缠
扳连 牵涉
班驳 斑驳
颁布 公布
颁发 颁布
斑白 花白
斑驳 班驳
斑驳陆离 光怪陆离
挪动 转移
搬家 搬迁
搬家 迁居
搬弄是非 挑拨离间
板滞 呆板
版图 邦畿
版图 国界
版图 疆土
办法 法子
办法 举措
办法 门径
办好 办妥
办事 处事
办事 做事
办妥 搞妥
半壁河山 半壁江山
半斤八两 各有千秋
半斤八两 平分秋色
半斤八两 旗鼓相当
半斤八两 势均力敌
半晌 片刻
半数 折半
半途 中途
半途而废 功败垂成
半途而废 功亏一篑
半途而废 前功尽弃
半吐半吞 欲言又止
半信半疑 将信将疑
半夜 三更
半夜 午夜
半夜 子夜
伴随 随同
伴同 伴随
扮演 饰演
扮装 化装
拌合 搀合
邦本 国本
邦家之光 国家荣誉
邦交 国交
帮忙 协助
帮凶 爪牙
帮助 帮忙
帮助 扶助
帮助 辅助
榜样 楷模
榜样 模范
傍门 歪路
傍友 清客
棒棰 棒槌
包办 包揽
包办 承办
包庇 偏护
包藏祸心 心存不良
包藏祸心 居心叵测
包抄 包围
包袱 负担
包管 保证
包管 担保
包含 包括
包涵 包容
包涵 海涵
包涵 见谅
包涵 留情
包涵 原谅
包罗 包含
包罗 包括
包罗万象 一应俱全
包罗万象 应有尽有
包容 包涵
包围 围困
褒奖 嘉奖
宝贝 宝物
宝贝 法宝
宝贝 瑰宝
宝贵 贵重
宝贵 名贵
宝贵 珍贵
宝塔 浮图
宝塔 浮屠
饱经风霜 历尽沧桑
保镖 警卫
保藏 收藏
保存 保留
保存 留存
保护 庇护
保举 举荐
保举 推荐
保姆 保母
保守 守旧
保卫 捍卫
保卫 警备
保卫 守护
保卫 守卫
保养 调养
保重 珍重
鸨母 龟婆
堡垒 碉堡
报酬 报答
报酬 酬劳
报答 酬报
报答 酬谢
报答 答谢
报导 报道
报告 陈述
报告 陈说
报告 陈诉
报告 呈报
报告 呈文
报告 讲演
报告 汇报
报命 应命
报歉 道歉
报怨 埋怨
抱病 得病
抱病 扶病
抱病 害病
抱病 患病
抱病 染病
抱病 生病
抱病 罹病
抱残守缺 陈陈相因
抱残守缺 固步自封
抱残守缺 故步自封
抱残守缺 墨守成规
抱残守缺 因循守旧
抱负 理想
抱恨 含恨
抱歉 负疚
抱屈 抱冤
抱屈 含冤
抱屈 受冤
抱头 捧首
抱头 捧头
抱头鼠窜 狼狈而逃
抱头鼠窜 溜之大吉
抱头鼠窜 抛戈弃甲
抱头鼠窜 逃之夭夭
暴跌 狂跌
暴动 暴乱
暴发 爆发
暴风 狂风
暴露无遗 原形毕露
暴虐 残暴
暴虐 残酷
暴虐 残忍
暴虐 惨酷
暴虐 凶狠
暴虐 凶横
暴跳如雷 大发雷霆
暴徒 恶徒
暴徒 坏人
暴徒 奸人
暴躁 浮躁
暴躁 急躁
暴政 虐政
爆仗 爆竹
爆仗 炮竹
卑鄙 卑劣
卑躬屈膝 卑恭屈节
卑躬屈膝 奴颜婢色
卑躬屈膝 奴颜婢膝
卑躬屈膝 奴颜媚骨
卑贱 卑下
卑劣 拙劣
卑劣手段 鬼蜮伎俩
卑微 低微
杯水车薪 无济于事
悲哀 悲痛
悲惨 悲凉
悲悼 哀悼 伤悼
悲忿 悲愤
悲观 灰心 颓废 消极
悲欢离合 离合悲欢
悲凉 凄凉
悲泣 悲啼
悲伤 哀痛
悲恸 悲哀
碑本 碑帖
碑本 石本
碑帖 碑本
北风 寒风
备案 存案
备案 立案
背道而驰 南辕北辙
背景 后台
背景 靠山
背面 后面
背叛 变节
背叛 倒戈
背叛 反水
背水一战 破釜沉舟
背信 背约
背约 背信
孤注一掷 决一死战
被宠若惊 受宠若惊
被骗 上当 上圈套 受骗
辈分 辈份
奔波 奔走
奔驰 奔跑
奔走 驰驱
本地 当地
本地货 土产
本分 天职
本籍 原籍
本籍 祖籍
本家儿 事主
本来 原本
本领 本事
本领 能力
本末倒置 本末颠倒
本末倒置 轻重倒置
本末倒置 舍本逐末
本年 今年
本钱 成本
本日 今日
本日 今天
本色 本质
本身 自己
本心 本意
本源 根源
本旨 本心
本子 簿子
笨头笨脑 傻里傻气
笨拙 拙笨
笨嘴 笨口
逼不得已 迫不得以
逼近 迫近
逼良为娼 迫良为娼
逼迫 强逼
逼迫 强迫
逼上梁山 揭竿而起
逼真 传神
比比皆是 触目皆是
比方 例如
比方 譬喻
比力 比较
比力 较量
比年 近年
比年不登 岁比不登
比如 好比
比赛 角逐
比赛 竞赛
比手划脚 指手画脚
比翼双飞 凤凰于飞
比翼双飞 鹿车共勉
比翼双飞 琴瑟和谐
比翼双飞 琴瑟同谱
比翼双飞 琴瑟同谐
比翼双飞 琴瑟之好
比翼双飞 鸾凤和鸣
比喻 比方
比照 对照
彼苍 青天
彼苍 上苍
笔底生花 挥洒自如
笔迹 字迹
笔据 凭单
笔墨 翰墨 文字
笔挺 笔直
笔心 笔芯
鄙见 拙见
鄙俚 卑鄙
鄙吝 吝啬 小器
鄙弃 厌弃
鄙视 鄙夷 藐视 蔑视 漠视 歧视 小看
鄙俗 陋俗
鄙谚 俗语 俚语
鄙意 愚见
必不得已 出于无奈
必定 一定
必恭必敬 恭恭敬敬
必将 势必
必然 必定
必须 必需
必需 必须
必需 必须
毕命 去逝
毕命 死亡
毕生 终生
毕业 结业
闭口 缄口 绝口
闭口无言 缄口藏舌 缄口结舌 缄口无言
闭门不出 韬光养晦
闭门不出 韬匮藏珠
闭门造车 凭空杜撰
闭门造车 凭空捏造
闭幕 终结
闭月羞花 沉鱼落雁
闭月羞花 花容月貌
庇护 呵护
荜路蓝缕 筚路蓝缕
婢女 梅香
婢女 女仆
婢女 使女
弊病 弊端
弊端 短处
弊端 坏处
弊端 毛病
避讳 避忌
避祸 逃难
避忌 避讳
避难 出亡
避难 遁迹
避难 流亡
避难 逃亡
避债 躲债
璧还 返璧
璧还 奉璧
璧还 奉还
璧还 归赵
边陲 边境
边幅 容貌
边疆 边陲
边界 鸿沟
边界 界限
边境 边疆
边沿 边缘
边缘 边沿
编录 辑录
编年 纪年
编削 删改
编纂 编辑
鞭辟入里 入木三分
鞭笞 鞭挞
鞭挞 拷打
鞭挞 扑打
贬价 降价
扁豆 藊豆
弁言 引言
拚命 搏命
便服 燕服
便函 私函
便可 即可
便是 即是
便是 就是
便条 条子
便宜 廉价
变动 变更
变动 更改
变更 变动
变更 变换
变化 转变
变化多端 变化无穷
变化多端 变幻莫测
变化多端 千变万化
变化多端 瞬息万变
变化无穷 变化多端
变幻 幻化
变节 叛变
变乱 事变
变乱 事故
变乱 事件
变态 反常
变态 失常
变为 变成
遍布 遍及
遍体鳞伤 皮开肉绽
遍体鳞伤 伤痕累累
遍体鳞伤 体无完肤
辨白 剖白
辨别 分辨
辨别 鉴别
辨别 鉴识
辨别 判袂
辨认 识别
辩驳 回嘴
辩词 辩辞
辩护 辩解
辩论 辩说
辩论 争执
彪炳 特出
标记 标识
标记 标志
标记 符号
标题 题目
标新立异 独树一帜
标语 口号
标致 美丽
标准 尺度
表里 内外
表露 流露
表露 披露
表率 榜样
表面 外观
表面 外面
表明 讲明
表明 解释
表情 脸色
表示 示意
表示 表现
表态 亮相
表现 体现
表现 显示
表扬 表彰
表彰 赞誉
别出心裁 别开生面
别出心裁 独出机杼
别出心裁 自出机杼
别的 此外
别的 另外
别的 其它
别的 其余
别号 别名
别开生面 标新立异
别开生面 别出机杼
别开生面 别具一格
别开生面 独具匠心
别开生面 匠心独运
别开生面 另具匠心
别人 他人
别史 外史
别史 野史
别无长物 一无长物
别致 新颖
宾朋盈门 宾客盈门
宾朋盈门 高朋满座
摈弃 摈斥
摈弃 屏弃
摈弃 摒除
冰冷 冰凉
冰片 龙脑
冰天雪地 雪窖冰天
兵变 叛乱
兵出无名 师出无名
兵多将广 军多将广
兵法 兵书
兵戈 干戈
兵工 军工
兵舰 军舰
兵力 军力
兵马 戎马
兵士 战士
兵营 军营
兵种 军种
秉承 秉持
秉性 天性
禀承 遵奉
禀赋 天赋
并不 其实不
并不是 并非
并非 并不是
并驾齐驱 不相上下
并且 而且
并吞 吞并
并无 并没有
病国殃民 祸国殃民
病入膏肓 不可救药
病愈 康复
病愈 痊愈
病院 医院
摒挡 拾掇
摒挡 收拾
拨开 扒开
拨浪鼓 货郎鼓
波澜 波涛
波浪 海浪
波涛 波澜
波折 挫折
波折 荆棘
剥夺 褫夺
剥极必复 否极必泰
剥削 抽剥
剥削 聚敛
剥削 克扣
剥削 盘剥
播送 广播
伯仲 昆季
伯仲 手足
驳斥 驳倒
驳倒 批驳
驳诘 诘难
泊岸 靠岸
泊车 停车
勃然变色 怫然作色
舶来品 进口货
舶来品 水货
博爱 泛爱
博得 赢得
博古通今 博学多闻
博古通今 见多识广
博古通今 见闻广博
博览会 展览会
博览群书 博学多才
博识 广博
博识 精深
博学多才 宏儒硕学
博学多闻 博古通今
搏斗 奋斗
搏斗 格斗
薄命 苦命
薄暮 傍晚
薄暮 黄昏
薄弱 柔弱 虚弱 微弱
补充 增补
补救 解救
补葺 修缮
补贴 补助
补助 津贴
补缀 修理
哺养 哺育
捕获 捕捉
捕鱼 打鱼
不安本分 不安分
不安于室 不守妇道
不安于室 红杏出墙
不安于位 不守妇道
不比是 不像是
不必 没必要
不睬 不理
不测 意外
不长进 不成才
不长进 不成材
不成体统 有失体统
不吃烟火食 不食人间烟火
不辞劳苦 不辞劳怨
不辞劳怨 不辞劳苦
不搭腔 不搭嘴
不搭腔 不答腔
不搭嘴 不搭腔
不达时宜 不合时宜
不打不相识 不打不成相识
不但 不单
不但 不光
不但 不仅
不但 不只
不当 不妥
不得不 不能不
不得善终 天诛地灭
不得要领 茫无头绪
不动声色 若无其事
不断 不竭
不断 不息
不断 不休
错误 差错 过错 过失
不夺农时 不违农时
不二 不贰
不乏其人 不胜枚举
不法 犯科
不凡 非凡
不妨 无妨
不敷 不够
不敷 不足
不伏手 不顺手
不服水土 不伏水土
不服水土 水土不服
不该 不应
不共戴天 誓不两立
不苟言笑 一本正经
不管是 不论是
不过 不外
不寒而栗 毛骨悚然
不合时宜 不达时宜
不计其数 不可胜数
不佳 欠安
不见圭角 不露锋芒
不仅 不但
不仅仅 不单单
不禁 不由
不胫而走 风行一时
不刊之论 不易之论
不堪 不胜
不可胜数 不计其数
不可胜数 数不胜数
不可思议 难以想象
不可一世 高视阔步
不可一世 目空四海
不可一世 旁若无人
不可一世 盛气凌人
不可一世 咄咄逼人
不肯 不愿
不郎不秀 不稂不莠
不劳而获 坐享其成
不料 不意
不料 不虞
不吝 不惜
不吝指教 不吝金玉
不吝指教 不吝珠玉
不吝珠玉 不吝指教
不留神 不留心
不露锋芒 不见圭角
不露锋芒 不露圭角
不露神色 不露声色
不露声色 不露神色
不伦不类 不三不四
不伦不类 不正经
不落窠臼 不落俗套
不毛之地 穷山恶水
不免 难免
不谋而合 不约而合
不能自已 不能自制
不偏不倚 中庸之道
不期而遇 萍水相逢
不屈不挠 奋不顾身
不然 否则
不染纤尘 冰清玉洁
不容置疑 无可置疑
不入耳 不中听
不少 很多
不慎 失慎
不胜 不堪
不省人事 昏迷不醒
不识时变 不识时务
不死即伤 非死即伤
不停 不断
不停 一直
不通 欠亨
不忘本 有良心
不闻不问 漠不关心
不闻不问 不理不睬
不问可知 不言而喻
不务正业 游手好闲
不相上下 八两半斤
不相上下 分庭抗礼
不相上下 平起平坐
不相闻问 断绝往来
不屑一顾 嗤之以鼻
不虚此行 不枉此行
不许 不准
不学而能 生而知之
不雅 不雅观
不厌其详 不厌求详
不厌求详 不厌其详
不要紧 没关系
不一 纷歧
不遗余力 竭尽全力
不易 不容易
不翼而飞 不知去向
不由得 禁不住
不由得 忍不住
不愿 不肯
不正经 不伦不类
不知恩义 过河拆桥
不知恩义 过河抽板
不知恩义 忘恩负义
不知所措 手足无措
不足齿数 不足挂齿
不足为据 不足为凭
不足为奇 层见迭出
不足为奇 多如牛毛
不足为奇 数见不鲜
不足为奇 无独有偶
布防 设防
布局 结构
布疋 布匹
布衣交 贫贱交
布衣粝食 布衣蔬食
布衣蔬食 布衣粝食
安顿 安置
步步为营 稳扎稳打
步调 步伐
步队 队伍
步卒 步兵
部队 军队
部分 部门
部分 部份
部份 部分
部门 部分
部署 摆设
部署 布置
部下 手下
部属 部下
部属 下属
擦拳磨掌 摩拳擦掌
猜测 猜想
猜忌 猜疑
猜拳 豁拳
猜中 料中
才干 才华
才高八斗 八斗之才
才高八斗 学富五车
才高气傲 恃才傲物
才华 才气
才气 才能
才气纵横 天才横溢
才情 才思
才智 才干
财宝 玉帛
财帛 钱财
财产 财富
财贿 财货
财路 财源
财务 财政
裁决 判决
裁判员 评判员
裁人 裁员
采集 收集
采纳 采用
彩超 B超
菜籽 菜子
参半 各半
参差不齐 良莠不齐
参加 加入
参见 拜见
参军 从军
参谋 顾问
残暴 残酷
残存 残余
残害 践踏 糟踏
残花败柳 枯枝败叶
残虐 肆虐
残破 残缺
残忍 残暴
惨白 苍白
惨恻 惨怆
惨恻 凄怆
惨剧 悲剧
惨绝人寰 惨无人道
惨然 惨淡
惨痛 惨重
仓促 仓皇
仓促 急促
仓猝 匆促
仓惶 仓遑
仓遑 仓惶
伧夫俗人 凡夫俗子
沧海横流 祸乱滔天
沧海桑田 白云苍狗
沧海一粟 九牛一毫
苍翠 葱翠
苍凉 凄凉
苍茫 苍莽
苍穹 天穹
操办 筹办
操持 筹划
操心 费心
操行 品行
操纵 操作
嘈杂 喧闹
草率 轻率
草帽 凉帽
草拟 起草
草鞋 芒鞋
草野 草泽
册本 书籍
侧重 偏重
厕所 茅厕
测量 丈量
测验 考试
策划 谋划
策应 接应
岑寂 冷静
岑岭 高峰
层出不穷 层见叠出
层次 条理
插手 插足
查办 查究
查抄 搜查
查对 核对
查访 察访
查究 核办
查问 盘问
查验 检验
茶馆 茶社
茶话会 谈话会
茶室 茶馆
察觉 发觉
察言观色 鉴貌辨色
奼紫嫣红 万紫千红
岔道 岔路
诧异 惊讶
差别 不同
差别 差异
差错 过失
差劲 低劣
差遣 派遣
差异 差别
拆除 撤除
拆伙 散伙
拆字 测字
柴炭 木炭
搀扶 扶持
谗言 诽语
孱弱 羸弱
馋涎欲滴 垂涎欲滴
缠累 牵累
蝉联 连任
蝉联 留任
产品 产物
产生 发生
谄谀 阿谀
谄谀 谄媚
铲除 革除
阐明 说明
阐述 论述
忏悔 反悔
颤动 颤抖
颤抖 哆嗦
昌盛 兴盛
猖獗 疯狂
长辈 尊长
长处 优点
长此以往 久而久之
长短不一 犬牙交错
长官 主座
长进 上进
长眠 长逝
长命 长寿
长命百岁 天保九如
长期 长时间
长枪 蛇矛
长驱直入 当者披靡
长生 永生
长途 远程
长夜 永夜
长于 擅长
长吁 浩叹
长远 久远
尝尝 试试
尝鼎一脔 见微知着
常备不懈 枕戈待旦
常常 经常
常见病 常见疾病
常年 终年
常用 经常使用
徜徉 倘佯
场合 场所
怅惘 惘然
畅快 酣畅
畅所欲言 各抒己见   
畅通 通顺
倡导 提倡
唱本 曲稿
抄本 手本
抄录 抄写
抄掠 搜劫
抄袭 剽窃
超常 超凡
超出 超越
超额 逾额
超群出众 超群绝伦
超群绝伦 超群出众
朝晨 清早
朝气 生气
朝秦暮楚 朝三暮四
朝三暮四 反复无常
进步 进取
朝霞 早霞
朝阳 旭日
嘲笑 冷笑
吵嚷 喧嚷
车费 车资
车水马龙 毂击肩摩
车厢 车箱
扯谎 撒谎
扯破 撕裂
扯谈 胡诌
彻底 完全
彻骨 透骨
彻里彻外 彻上彻下 彻头彻尾 彻彻底底
彻夜 通宵
撤兵 撤军
撤除 撤消
撤退 退却
撤消 裁撤
撤消 撤除
撤消 撤销
撤职 罢免
澈底 透澈
澈底觉悟 大澈大悟
瞋目 横眉
瞋目 怒目
尘寰 凡间
尘世 红尘
尘事 尘务
尘土 灰尘
沉寂 寂静
沉浸 沉醉
沉沦 沉溺
沉闷 烦闷
沉迷 陷溺
沉湎 沉沦
沉默 缄默
沉默 缄默 沉静
沉溺 沉湎
沉溺 堕落 沦落
沉思 寻思
沉重 繁重
沉着 冷静
沉着 镇静
沉醉 沉浸
陈腐 陈旧
陈腐 迂腐
陈规 成规
陈列 摆设
陈设 陈列
陈述 陈说
陈说 述说
晨安 早安
晨风 晓风
晨光 晨曦
晨曦 晨光
衬托 陪衬
称孤道寡 称王称帝
称呼 称号
称呼 称谓
称疾 托病
称身 合身
称颂 称赞
称谓 称呼
称心 趁心
称心快意 遂心如愿
称心如意 心满意足
称许 赞许
称誉 称赞
称赞 奖饰
称赞 赞美
趁便 顺便
趁波逐浪 随波逐流
趁火打劫 攻其不备
趁机 乘隙
趁热打铁 连成一气
趁热打铁 一气呵成
趁势 顺势
趁早 赶早
撑场面 充排场
瞠乎其后 难望项背
瞠乎其后 望尘莫及
成本 本钱
成份 成分
成规 陈规
成规 陋习
成家立业 安家立业
成见 偏见
成就 成绩
成千上万 不计其数
成群结队 三五成群
成为了 成了
成仙 羽化
成心 故意
成竹在胸 胸有成竹
呈文 报告
呈现 显现
承担 承当
承当 承担
承继 承袭
承继 继承
承诺 许诺
承前启后 继往开来
承情 领情
承上启下 承先启后
承先启后 承上启下
诚笃 诚实
诚惶诚恐 坐卧不安
诚恳 恳切
诚实 诚笃
诚心 诚恳
诚挚 真挚
乘车 搭车
乘船 搭船
乘风破浪 披荆斩棘
乘机 伺机
乘凉 纳凉
乘人之危 落井下石
乘隙 趁机
乘虚而入 浑水摸鱼
惩办 惩处
惩罚 责罚
惩治 惩办
程门立雪 尊师重道
澄彻 澄澈
吃里扒外 吃里爬外
吃力 费劲
吃素 茹素
吃素 食斋
痴钝 迟钝
痴肥 臃肿
痴顽 愚钝
弛禁 开禁
池鱼之殃 无妄之灾
池沼 沼泽
驰名 驰誉
驰名 闻名
迟钝 缓慢
迟疑 游移
迟早 早晚
持续 延续
持疑不定 持疑不决
持之以恒 锲而不舍
持重 稳重
踟躇 踟蹰
尺牍 函牍
尺幅千里 掌上河山
耻辱 羞辱
耻笑 嘲笑
褫夺 剥夺
叱呵 叱喝
叱骂 责骂
叱责 呼叱
斥候 标兵
斥骂 诃斥
斥责 叱责
赤忱 赤心
赤胆忠心 忠心耿耿
赤脚 光脚
赤军 红军
赤贫如洗 一无所有
赤色 红色
赤身 裸体
赤身露体 袒裼裸裎
赤手空拳 手无寸铁
赤心 丹心
炽热 灼热
充斥 充溢
充当 充任
充耳不闻 不闻不问
充分 充实
充分 充裕
充公 没收
充饥 果腹
充军 放逐
充满 布满
充排场 撑场面
充任 充当
充数 凑数
充溢 充满
充足 充沛
冲动 激动
冲刷 冲洗
憧憬 向往
虫豸 昆虫
虫篆之技 雕虫小技
崇拜 崇敬
崇高 高尚
宠爱 溺爱
宠儿 骄子
宠任 宠信
抽剥 剥削
抽丰 打秋风
抽空 抽暇
抽空 抽闲
抽泣 抽咽
抽闲 抽空
抽芽 发芽
抽咽 抽泣
抽烟 吸烟
抽噎 抽泣
仇敌 仇人
仇恨 冤仇
仇恨 痛恨
仇家 对头
仇人 敌人
仇视 敌视
仇隙在心 中怀怨恨
愁肠百结 满腹忧愁
愁肠寸断 哀肠百转
愁眉不展 愁云满面
愁眉不展 颦眉促额
愁眉苦脸 愁眉锁眼
稠密 浓密
稠人广众 大庭广众
稠浊 混杂
筹办 筹备
筹备 准备
筹措 张罗
筹划 规画
筹划 计划
筹画 筹划
筹码 筹马
筹谋 策划
筹议 筹商
丑恶 丑陋
臭名 污名
臭名远扬 臭名昭着
出版 出书
出产 生产
出场 进场
出错 犯错
出尔反尔 言而无信
出发 动身
出发点 起点
出谷迁乔 乔迁之喜
出家 落发
出力异常 特别卖力
出路 前途
出没无常 神出鬼没
出谋划策 出谋献策
出奇制胜 声东击西
出人意表 出人意料
出入 收支
出色 超卓
出身 身世
出神入化 炉火纯青
出生 诞生
出生入死 赴汤蹈火
出声 作声
出事 失事
出书 出版
出头露面 抛头露面
出息 前程
出险 脱险
出现 泛起
出言如山 一言九鼎
出言无状 恶语伤人
初版 第一版
初创 草创
初创 始创
初春 早春
初次 初度
初次 首次
初级 低级
初期 早期
初赛 预赛
初志 初衷
除暴安良 吊民伐罪
除奸 锄奸
除旧布新 送旧迎新
除旧更新 改弦易辙
除旧更新 革故鼎新
除了 除去
锄奸 除奸
锄强扶弱 振弱除暴
储备 储蓄
储备 贮备
储存 贮存
楚楚可怜 我见犹怜
处罚 惩罚
处分 处罚
处理 处置
处所 地方
处心积虑 挖空心思
处之泰然 泰然自若
处置 措置
触类旁通 举一反三
触目惊心 惊心动魄
触怒 惹恼
矗立 耸立
揣测 测度
揣测 臆测
揣测 忖测
揣测 忖度
啜泣 抽泣
川流不息 络绎不绝
穿戴 穿着
穿凿附会 牵强附会
传播 传布
传播 流传
传达 转达
传记 列传
传教 布道
传染病 流行症
传授 教授
传闻 风闻
传扬 宣扬
船埠 码头
船长 船主
船厂 船坞
船面 甲板
船主 船长
喘气 喘息
喘嘘嘘 喘吁吁
喘吁吁 喘嘘嘘
床上安床 迭床架屋
床头金尽 囊空如洗
床笫 枕席
创建 建立
创立 创建
创始 开创
创新 立异
创造 缔造
吹打 奏乐
吹捧 吹嘘
吹嘘 揄扬
吹奏 演奏
垂怜 怜爱
垂纶 钓鱼
垂死 病笃
垂头丧气 没精打采
垂危 弥留
垂涎三尺 垂涎欲滴
春风得意 喜气洋洋
春光 春景
春光 春景
春联 对联
春天 春季
纯粹 纯洁
纯洁 纯正
纯洁 贞洁
纯朴 质朴
纯熟 熟练
纯真 纯挚
纯正 纯粹
唇红齿白 朱唇皓齿
唇枪舌剑 针锋相对
唇亡齿寒 巢毁卵破
唇亡齿寒 巢倾卵破
淳厚 质朴
淳朴 浑厚
蠢蠢欲动 捋臂张拳
戳穿 揭穿
辍学 停学
词采 词藻
词典 辞书
词翰 词章
词汇 辞汇
词句 文句
词讼 刀笔
词藻 词华
慈爱 慈祥
慈善家 善士
辞世 谢世
辞书 词典
辞退 解雇
辞职归里 告老还乡
此间 其间
此人 这人
此生 今生
此外 另外
此中 其中
此中人 局内人
次第 次序 递次
次货 劣货
次日 第二天
次序 顺序
刺刺不休 唠唠叨叨
刺耳 难听 逆耳
刺目 刺眼
刺探 打探
赐给 赏给
赐赉 赐予
赐与 给以
赐与 给予
从古到今 古往今来
从军 参军
从来 历来
从前 畴前
从前 夙昔
从前 早年
从容不迫 不迟不疾
从容自若 从容自在
从容自在 从容自若
从速 赶快
从头到尾 从头至尾
从头至尾 从头到尾
从新 重新
从属 隶属
匆匆 仓促
匆忙 慌忙
葱翠 苍翠
葱茏 碧绿
葱绿 翠绿
葱郁 葱茏
聪慧 聪明
聪颖 聪慧
丛集 猬集
丛林 森林
凑近 靠近
凑巧 恰巧
凑数 充数
粗暴 粗鲁
粗鄙 粗俗
粗糙 粗拙
粗豪 粗犷
粗鲁 卤莽
粗俗 粗鄙
粗言 鄙言
粗衣劣食 恶衣恶食
促成 促进
促进 增进
促膝谈心 把臂而谈
簇拥 蜂拥
窜犯 窜扰
窜改 篡改
窜改 改动
窜扰 窜犯
篡夺 夺取
篡改 窜改
催促 敦促
催讨 追讨
摧残 蹂躏 糟蹋
摧枯拉朽 势如破竹
脆而不坚 华而不实
脆弱 懦弱
村夫 乡人
村落 村子
村塾 村学
村学 村塾
村庄 村落
村子 村庄
存案 备案
存放 寄存
存身 藏身 安身
存亡 生死
存心 故意
忖前思后 前思后想
寸步难行 步履维艰
寸晷 寸阴
寸男尺女 一男半女
寸心 寸衷
寸阴 寸晷
磋商 商量
撮合山 月老祠
措施 办法
错爱 谬爱
错愕 惊惶
错误 毛病
错综复杂 扑朔迷离
哒哒 嗒嗒
搭车 乘车
搭船 乘船
搭当 搭挡
搭档 同伴
搭架子 摆架子
搭客 乘客
搭理 理睬
搭讪 搭赸
达成 告竣
达成 杀青
达到 到达
达官贵人 王侯将相
答复 回答
答理 理睬
答谢 报答
答应 承诺
答应 许诺
答应 应许
答应 应允
答应 准许
答允 应承
打扮 妆扮
打单 勒索
打倒 打垮
打定主意 拿定主意
打动 感动
打斗 打架
打斗 斗殴
打盹 瞌睡
打更 击柝
打狗不看主人面 罔顾情面
打击 冲击
攻击 进攻 袭击
打饥荒 闹饥荒
打搅 打扰
打劫 掠夺
打量 端详
打量 审察
打猎 狩猎
打秋风 抽丰
